1503, 0, 0
0, 1.1392323449462938, -0.2959840511623605, -0.2386212789787293
5056, 1.1391628062798302, -0.2958942818587087, -0.23893041249910152
10113, 1.1390912620693754, -0.29580195922479835, -0.2392477551150701
15170, 1.1390175847262387, -0.29570692704111345, -0.23957328242549472
20226, 1.138941642636985, -0.2956090561569719, -0.23990702572980846
25283, 1.1388633008338387, -0.2955082525290869, -0.24024908287843263
30340, 1.1387824263061839, -0.2954044642831523, -0.24059960818450543
35396, 1.138698894125345, -0.2952976943733525, -0.24095879916369028
40453, 1.1386125918091519, -0.2951880150872454, -0.24132688301802604
45510, 1.1385234240572506, -0.29507558004873236, -0.2417041040946582
50567, 1.1384313184800843, -0.29496063194312483, -0.2420907205750709
55623, 1.138336234604562, -0.29484350898546, -0.24248700789023758
60680, 1.1382381699478685, -0.2947246556542333, -0.24289326550419488
65737, 1.1381371643174372, -0.2946046227114015, -0.2433098254076945
70793, 1.1380332913447568, -0.2944840518302729, -0.24373706886856852
75850, 1.137926639155562, -0.2943636420603884, -0.24417542953739604
80907, 1.1378172870388914, -0.29424410664963413, -0.2446253920930691
85964, 1.137705291506912, -0.29412612700351887, -0.24508749703580618
91020, 1.1375906652421315, -0.29401032080730427, -0.24556234410503716
96077, 1.137473346109096, -0.2938972264098102, -0.2460505646662901
101134, 1.1373531709427738, -0.29378726392649535, -0.2465528205119071
106190, 1.1372298287497271, -0.29368071273258767, -0.24706981968045091
111247, 1.137102832410084, -0.2935777304154589, -0.2476022586543532
116304, 1.1369715602779336, -0.2934784003969397, -0.24815064297924982
121360, 1.1368352945044742, -0.2933827560531191, -0.2487152274112114
126417, 1.1366932328160841, -0.2932908000810443, -0.24929603927229035
131474, 1.1365444940265101, -0.29320251647345086, -0.24989291235915218
136531, 1.1363881463172092, -0.29311788855719484, -0.25050552855137415
141587, 1.13622329503855, -0.29303694199601077, -0.25113348923874235
146644, 1.1360492464462628, -0.29295983969604084, -0.2517764563329444
151701, 1.1358657536797665, -0.2928869906761122, -0.25243434560613975
156757, 1.1356733094639968, -0.2928191497534952, -0.2531073584414606
161814, 1.135473385080571, -0.29275749198045925, -0.2537956428651504
166871, 1.1352683595274522, -0.29270368229819144, -0.2544989910364001
171928, 1.1350612592453413, -0.29265988244835195, -0.25521685255032023
176984, 1.1348555239946856, -0.2926286583080038, -0.2559485647142443
182041, 1.1346547941022593, -0.2926127888428051, -0.25669355425907375
187098, 1.1344626209660136, -0.2926150410942188, -0.25745143099040213
192154, 1.1342822078793329, -0.2926379649845373, -0.2582220489817048
197211, 1.1341162605212591, -0.29268375490091636, -0.25900551454509324
202268, 1.1339668833290153, -0.2927541632934468, -0.25980215662860445
207325, 1.1338355193004954, -0.292850448865228, -0.260612448747072
212381, 1.1337229319785447, -0.292973342680525, -0.26143684296995723
217438, 1.1336292646783892, -0.2931229941687812, -0.26227548618252156
222495, 1.1335542304472113, -0.2932987648025724, -0.2631273449338976
227551, 1.1334972040791422, -0.29349908982469813, -0.2639898354186718
232608, 1.1334572577331092, -0.2937215124313438, -0.26485899258711776
237665, 1.1334331892338483, -0.2939628457525727, -0.2657298109472632
242721, 1.1334236523724914, -0.29421932786779054, -0.2665966540157031
247778, 1.1334272600034165, -0.2944867464829795, -0.2674536136879592
252835, 1.133442597712622, -0.2947606360562495, -0.268294766107236
257892, 1.1334682907253233, -0.29503654718364325, -0.26911444028378423
262948, 1.1335031173987586, -0.295310275838253, -0.2699074837931062
268005, 1.1335462346450365, -0.29557789969624004, -0.27066948246599093
273062, 1.133596982104165, -0.29583589737536947, -0.2713966828985468
278118, 1.1336547728535837, -0.29608137179787863, -0.27208601798643
283175, 1.133719147820993, -0.29631225328966854, -0.2727353242320191
288232, 1.1337897918028765, -0.2965273894803432, -0.27334346453058966
293289, 1.1338665569263053, -0.29672649006260415, -0.2739103637555537
298345, 1.1339494988599041, -0.29690995659387553, -0.27443701176317997
303402, 1.1340388759573186, -0.297078608143639, -0.27492533219003346
308459, 1.1341350405559991, -0.29723339575965274, -0.2753777777472097
313515, 1.1342383365032507, -0.2973751907132916, -0.27579687957480564
318572, 1.134349094569296, -0.2975047477655625, -0.2761851340569202
323629, 1.1344676641268112, -0.29762271970436416, -0.27654496288667496
328685, 1.1345944414247593, -0.2977296855741597, -0.2768786877565053
333742, 1.13472988247765, -0.29782617172732284, -0.2771884962728647
338799, 1.1348744725153088, -0.29791265709954956, -0.2774763934414075
343856, 1.1350286419983107, -0.29798956292276035, -0.2777441634059715
348912, 1.1351926689018184, -0.29805722634857584, -0.2779933425906573
353969, 1.1353666286945108, -0.29811588644871456, -0.2782252378593651
359026, 1.1355503748505198, -0.29816567902407876, -0.2784409532660105
364082, 1.1357435417373853, -0.2982066379825111, -0.27864140248945674
369139, 1.1359455620394365, -0.2982387272130866, -0.278827299309909
374196, 1.136155702555594, -0.2982618946978781, -0.2789991739016845
379253, 1.1363731261443362, -0.298276120684946, -0.2791574207207483
384309, 1.1365969600425623, -0.2982814458600236, -0.2793023388090916
389366, 1.136826359047585, -0.2982779785975256, -0.2794341505344755
394423, 1.137060554293853, -0.29826587632734636, -0.279553012188812
399479, 1.1372988545814198, -0.29824531116310354, -0.2796590230497561
404536, 1.1375406038733649, -0.2982164282193678, -0.2797522326459968
409593, 1.1377851281837879, -0.29817932069153336, -0.2798326472184817
414650, 1.1380317136508198, -0.29813403606828853, -0.2799002483177556
419706, 1.1382796405638975, -0.2980806071761718, -0.2799550260897479
424763, 1.1385282455442147, -0.2980190850491745, -0.2799970211431821
429820, 1.1387769897013356, -0.29794956480648843, -0.2800263555872103
434876, 1.1390255064009844, -0.2978721917643569, -0.2800432414380847
439933, 1.1392735969844372, -0.2977871535977645, -0.2800479589130011
444990, 1.1395211915652728, -0.29769466601292977, -0.28004082594851654
450046, 1.1397683084128196, -0.2975949714707849, -0.28002218572792725
455103, 1.140015018756181, -0.2974883562227589, -0.27999241901145194
