380, 50.53191489361702, 7520
1060000, UnitQuaternion angle: 0.07368564395007392 − axis: (-0.6272124858106213, 0.47061650190281756, -0.6205840843753703)
1080000, UnitQuaternion angle: 0.07242008035479731 − axis: (-0.7224652313538533, 0.26807928071239834, -0.6373205541464564)
1100000, UnitQuaternion angle: 0.07636962125164241 − axis: (-0.7538612721478698, -0.20945032163599353, -0.6227549639482404)
1120000, UnitQuaternion angle: 0.09243680994167686 − axis: (-0.6671719113784602, -0.556857347813903, -0.4947641204182838)
1140000, UnitQuaternion angle: 0.11089750990073119 − axis: (-0.6266785865921548, -0.7015716338474562, -0.339221449332836)
1160000, UnitQuaternion angle: 0.1250277718075068 − axis: (-0.6336112953050713, -0.7386432370865597, -0.2300932306003767)
1180000, UnitQuaternion angle: 0.13558630815521303 − axis: (-0.6505596254276986, -0.7330058937471369, -0.19868199086815452)
1200000, UnitQuaternion angle: 0.13760542650275198 − axis: (-0.6672148946281574, -0.7076118044160231, -0.23261517284441413)
1220000, UnitQuaternion angle: 0.1253073386441539 − axis: (-0.7199310051645273, -0.6370682625254145, -0.27539676230058086)
1240000, UnitQuaternion angle: 0.11626243908157952 − axis: (-0.8283976479360258, -0.49220583139889423, -0.2673775540896875)
1260000, UnitQuaternion angle: 0.12042001440125746 − axis: (-0.8911219043903256, -0.3950961659192166, -0.22316086393383225)
1280000, UnitQuaternion angle: 0.1189401900541077 − axis: (-0.886776196079543, -0.39999922220380085, -0.23157849706535838)
1300000, UnitQuaternion angle: 0.10971688227722981 − axis: (-0.8265584092421853, -0.4675481910864886, -0.31336860902582514)
1320000, UnitQuaternion angle: 0.10136336763637417 − axis: (-0.7518394247901445, -0.504840895812613, -0.42411454731751747)
1340000, UnitQuaternion angle: 0.09413632448851568 − axis: (-0.7199939581768535, -0.4410773797840184, -0.5357792877964693)
1360000, UnitQuaternion angle: 0.08614429043887271 − axis: (-0.6846779260826423, -0.2459453833857939, -0.6860954787246354)
1380000, UnitQuaternion angle: 0.08080619477016145 − axis: (-0.5311602712304917, 0.05515604523446072, -0.845474172840569)
1400000, UnitQuaternion angle: 0.08283832107615542 − axis: (-0.3596813625356675, 0.2491235666742943, -0.8992034063391687)
1420000, UnitQuaternion angle: 0.07769447828975518 − axis: (-0.3701152681111133, 0.14851759166242126, -0.9170371929632043)
1440000, UnitQuaternion angle: 0.06656030507408404 − axis: (-0.4420959841326304, -0.22379962682232743, -0.8685993713145249)
1460000, UnitQuaternion angle: 0.05752285451240513 − axis: (-0.34702955101643196, -0.5751988276786119, -0.7407542098148914)
1480000, UnitQuaternion angle: 0.05128553706910178 − axis: (-0.3308977516919212, -0.6070426379959707, -0.7224997671834396)
1500000, UnitQuaternion angle: 0.045044328058917 − axis: (-0.46482896658118, -0.317113639008735, -0.8266637598090956)
1520000, UnitQuaternion angle: 0.04732379010693873 − axis: (-0.5778875088125836, 0.22573730812991544, -0.7842759048170777)
1540000, UnitQuaternion angle: 0.05599666680275974 − axis: (-0.5875958730112625, 0.515645357948659, -0.6235711305425642)
1560000, UnitQuaternion angle: 0.04576732904911688 − axis: (-0.5855254171770858, 0.5188368730794678, -0.6228710018717519)
1580000, UnitQuaternion angle: 0.02891928018023775 − axis: (-0.5783345641756305, 0.1371961557350948, -0.8041805436164787)
1600000, UnitQuaternion angle: 0.028465687456714447 − axis: (-0.5167879431018275, -0.29377571869274016, -0.8041306168596903)
1620000, UnitQuaternion angle: 0.03766965338875306 − axis: (-0.5671499608906017, 0.11829127755718262, -0.815075515222779)
1640000, UnitQuaternion angle: 0.05616088215673828 − axis: (-0.25326401144685157, 0.5641374332228153, -0.7858793144895866)
1660000, UnitQuaternion angle: 0.0678590260624768 − axis: (0.16913315149321687, 0.5091987433253231, -0.8438664686204118)
1680000, UnitQuaternion angle: 0.0786380821462609 − axis: (0.550462188558505, 0.04114879547757513, -0.8338454026965224)
1700000, UnitQuaternion angle: 0.10392063456216312 − axis: (0.671063126661265, -0.34023253094297057, -0.6587230866788774)
1720000, UnitQuaternion angle: 0.12016153700742511 − axis: (0.65618614181406, -0.379683228454766, -0.6521199224999527)
1740000, UnitQuaternion angle: 0.12412624772572561 − axis: (0.6652691035909042, -0.2150315075955807, -0.7149674611816448)
1760000, UnitQuaternion angle: 0.10911665085673251 − axis: (0.5770051337191989, -0.046451431715512616, -0.8154185061385769)
1780000, UnitQuaternion angle: 0.08581221883424231 − axis: (0.48881595403621364, -0.07115224949580984, -0.8694804888387964)
1800000, UnitQuaternion angle: 0.07721792900976573 − axis: (0.615925564825372, -0.5028609232720623, -0.6064376228768424)
1820000, UnitQuaternion angle: 0.11402854736168325 − axis: (0.5098730353102557, -0.8440755290430283, -0.16603008502749925)
1840000, UnitQuaternion angle: 0.1576070633795546 − axis: (0.3582146416897642, -0.9335290662218099, -0.014344092794936444)
1860000, UnitQuaternion angle: 0.15933636704624737 − axis: (0.23277740003485187, -0.9725263368836646, -0.0026844181223129536)
1880000, UnitQuaternion angle: 0.1211733109295219 − axis: (0.05544423858219598, -0.9944680247515697, -0.08921482026407898)
1900000, UnitQuaternion angle: 0.08612736724749517 − axis: (-0.1992053288524967, -0.9449847094675378, -0.25946316854097434)
1920000, UnitQuaternion angle: 0.08579512132027318 − axis: (-0.34942725157375454, -0.8696539743851895, -0.34871558711026424)
1940000, UnitQuaternion angle: 0.10277247580978935 − axis: (-0.2774817668507671, -0.904935183969418, -0.32263939914339723)
1960000, UnitQuaternion angle: 0.10870461272764781 − axis: (-0.21403869514887502, -0.9168271666219528, -0.33706881125807087)
1980000, UnitQuaternion angle: 0.0937049481904893 − axis: (-0.24174870831335143, -0.8581753338239457, -0.4528715694818848)
2000000, UnitQuaternion angle: 0.07972655458931696 − axis: (-0.32393551377608726, -0.6769716174422249, -0.6608897125029866)
2020000, UnitQuaternion angle: 0.07909107691516602 − axis: (-0.2724951639721168, -0.5349550952767053, -0.7997308495045695)
2040000, UnitQuaternion angle: 0.07552840630425632 − axis: (-0.0565838799598307, -0.47853795623171097, -0.8762417982350925)
2060000, UnitQuaternion angle: 0.0632263837425276 − axis: (0.1438672380149337, -0.1940759385302126, -0.970379692651063)
2080000, UnitQuaternion angle: 0.0575371300640017 − axis: (0.07957417475252858, 0.30980878703651127, -0.9474631740534403)
2100000, UnitQuaternion angle: 0.05512761764923377 − axis: (-0.18271338514088767, 0.5082754168464694, -0.841588925497422)
2120000, UnitQuaternion angle: 0.04897986241863477 − axis: (-0.5957298680840406, 0.3651649609803848, -0.7153743604189108)
2140000, UnitQuaternion angle: 0.0456930010280443 − axis: (-0.872369643545605, 0.41280584970228484, -0.2618444871897988)
2160000, UnitQuaternion angle: 0.05793936780129227 − axis: (-0.6574583286953019, 0.7196218565687359, 0.2233672526977628)
2180000, UnitQuaternion angle: 0.08386774778474752 − axis: (-0.33414955738100965, 0.8735936140679991, 0.3538054136975396)
